sample_id,phenotype,final_label,disease,tissue,subtype,confidence,matched_column,matched_keyword,annotation_status
GSM653140,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653141,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653142,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653143,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653144,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653145,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653146,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653147,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653148,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653149,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653150,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653151,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653152,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653153,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653154,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653155,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653156,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653157,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653158,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653159,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653160,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653161,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653162,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653163,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653164,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653165,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653166,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653167,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653168,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653169,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653170,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653171,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653172,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653173,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653174,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653175,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653176,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653177,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653178,Normal,0,Healthy,Liver,,0.95,title,normal,Resolved
GSM653179,Normal,0,Healthy,Liver,,0.95,title,normal,Resolved
GSM653180,Normal,0,Healthy,Liver,,0.95,title,normal,Resolved
GSM653181,Normal,0,Healthy,Liver,,0.95,title,normal,Resolved
GSM653182,Normal,0,Healthy,Liver,,0.95,title,normal,Resolved
GSM653183,Normal,0,Healthy,Liver,,0.95,title,normal,Resolved
