gene_id,gene_name,log2FC,pvalue,padj
ENSG00000266964.6,FXYD1,-3.933999302108965,3.4326329857826513e-06,3.160975755924711e-05
ENSG00000238099.3,LINC01625,-3.8743876665124644,3.4326329857826513e-06,3.160975755924711e-05
ENSG00000168746.8,LINC01620,-3.2329457444536613,3.634884214982382e-06,3.160975755924711e-05
ENSG00000269353.1,AC092071.1,-3.687025177007665,3.852826523167328e-06,3.160975755924711e-05
ENSG00000163825.4,RTP3,-2.91660579981591,3.923187912367514e-06,3.160975755924711e-05
ENSG00000244474.6,UGT1A4,-2.957107023815419,3.935308930390168e-06,3.160975755924711e-05
ENSG00000174990.8,CA5A,-3.140073784232588,3.935308930390168e-06,3.160975755924711e-05
ENSG00000145826.9,LECT2,-2.691411687727178,3.935308930390168e-06,3.160975755924711e-05
ENSG00000224916.9,APOC4-APOC2,-3.589568534317241,3.935308930390168e-06,3.160975755924711e-05
ENSG00000286714.1,AC093001.2,-3.290327418807862,3.935308930390168e-06,3.160975755924711e-05
ENSG00000279428.1,AC087164.2,-4.0005438088683265,3.935308930390168e-06,3.160975755924711e-05
ENSG00000232650.6,LINC01780,-3.5517924123201134,3.935308930390168e-06,3.160975755924711e-05
ENSG00000229484.1,LINC02766,-3.242851068073259,3.935308930390168e-06,3.160975755924711e-05
ENSG00000101981.12,F9,-2.430719708412797,4.147391786904284e-06,3.160975755924711e-05
ENSG00000248884.1,AC010280.2,-3.975408414153661,4.147391786904284e-06,3.160975755924711e-05
ENSG00000249173.6,LINC01093,-3.4041841780381965,4.147391786904284e-06,3.160975755924711e-05
ENSG00000134365.13,CFHR4,-2.8691946764220613,4.2596734001206236e-06,3.160975755924711e-05
ENSG00000248740.6,LINC02428,-2.8593789826610703,4.331229468249156e-06,3.160975755924711e-05
ENSG00000164089.9,ETNPPL,-2.7214529210540004,4.331229468249156e-06,3.160975755924711e-05
ENSG00000180875.5,GREM2,-2.8637660613874942,4.331229468249156e-06,3.160975755924711e-05
ENSG00000134389.10,CFHR5,-2.544028844111732,4.331229468249156e-06,3.160975755924711e-05
ENSG00000243384.1,AC119424.1,-3.614811709755733,4.387636101666396e-06,3.160975755924711e-05
ENSG00000279218.1,AC006037.2,-3.1239209685959564,4.399221892773172e-06,3.160975755924711e-05
ENSG00000131183.11,SLC34A1,-2.7607187113689133,4.486577374892108e-06,3.160975755924711e-05
ENSG00000198077.10,CYP2A7,-3.5449448403390216,4.486577374892108e-06,3.160975755924711e-05
ENSG00000172497.9,ACOT12,-2.7081537221995866,4.486577374892108e-06,3.160975755924711e-05
ENSG00000160339.16,FCN2,-3.049005791543204,4.486577374892108e-06,3.160975755924711e-05
ENSG00000101204.18,CHRNA4,-3.2554014589950846,4.486577374892108e-06,3.160975755924711e-05
ENSG00000197838.5,CYP2A13,-3.9883553701742005,4.550951307945221e-06,3.160975755924711e-05
ENSG00000278967.1,AL138847.2,-2.7471101023479734,4.614125481986509e-06,3.160975755924711e-05
ENSG00000238102.2,AL080248.1,-2.193229110385225,4.614125481986509e-06,3.160975755924711e-05
ENSG00000275944.1,AC244100.3,-2.8025821733640326,4.614125481986509e-06,3.160975755924711e-05
ENSG00000096088.16,PGC,6.244564731703872,4.614125481986509e-06,3.160975755924711e-05
ENSG00000229005.2,HNF4A-AS1,-3.61356079353006,4.614125481986509e-06,3.160975755924711e-05
ENSG00000249738.10,AC008691.1,4.9050677826824485,4.614125481986509e-06,3.160975755924711e-05
ENSG00000166391.15,MOGAT2,-2.784869597019067,4.614125481986509e-06,3.160975755924711e-05
ENSG00000165682.14,CLEC1B,-3.499845142833148,4.614125481986509e-06,3.160975755924711e-05
ENSG00000080910.13,CFHR2,-2.290854572000583,4.715374755829968e-06,3.160975755924711e-05
ENSG00000227712.2,AL359915.1,-3.292936562465828,4.715374755829968e-06,3.160975755924711e-05
ENSG00000264269.1,AC016866.1,4.649188075298261,4.715374755829968e-06,3.160975755924711e-05
ENSG00000269959.1,SPACA6P-AS,4.804275483710603,4.715374755829968e-06,3.160975755924711e-05
ENSG00000134538.3,SLCO1B1,-1.9436647656263963,4.715374755829968e-06,3.160975755924711e-05
ENSG00000249956.4,UGT2B24P,-4.412133748262419,4.754872031769197e-06,3.160975755924711e-05
ENSG00000102385.12,DRP2,5.1643983687955535,4.792502276912456e-06,3.160975755924711e-05
ENSG00000232237.3,ASCL5,4.391518043301446,4.792502276912456e-06,3.160975755924711e-05
ENSG00000149124.11,GLYAT,-2.629197042005614,4.792502276912456e-06,3.160975755924711e-05
ENSG00000274444.1,AC078909.2,4.976532524537309,4.792502276912456e-06,3.160975755924711e-05
ENSG00000283342.1,NBPF13P,-3.053373233632642,4.792502276912456e-06,3.160975755924711e-05
ENSG00000213512.3,GBP7,-2.7797220335919994,4.792502276912456e-06,3.160975755924711e-05
ENSG00000173728.11,C1orf100,4.365543091039306,4.792502276912456e-06,3.160975755924711e-05
ENSG00000179284.5,DAND5,5.196185144990554,4.792502276912456e-06,3.160975755924711e-05
ENSG00000264569.1,DCXR-DT,-3.5211574152648235,4.792502276912456e-06,3.160975755924711e-05
ENSG00000122787.15,AKR1D1,-2.6292012337580606,4.792502276912456e-06,3.160975755924711e-05
ENSG00000283991.1,AC017000.1,-3.594637831181468,4.8338024202860075e-06,3.160975755924711e-05
ENSG00000130377.13,ACSBG2,3.221886991211445,4.848224591031905e-06,3.160975755924711e-05
ENSG00000278965.1,AC122713.2,-3.945761596433387,4.848224591031905e-06,3.160975755924711e-05
ENSG00000286024.1,AC026803.3,-2.7540406112552867,4.848224591031905e-06,3.160975755924711e-05
ENSG00000287709.1,AC008780.1,-2.588866615627824,4.848224591031905e-06,3.160975755924711e-05
ENSG00000011332.19,DPF1,3.8887140679311707,4.848224591031905e-06,3.160975755924711e-05
ENSG00000273001.1,AL731533.2,3.913801916785845,4.848224591031905e-06,3.160975755924711e-05
ENSG00000259732.1,AC092757.2,4.1017444020420815,4.848224591031905e-06,3.160975755924711e-05
ENSG00000138308.6,PLA2G12B,-2.2859478900489445,4.848224591031905e-06,3.160975755924711e-05
ENSG00000287853.1,AL031668.2,5.68355926462004,4.848224591031905e-06,3.160975755924711e-05
ENSG00000261012.2,AC115619.1,-1.707073178046967,4.885667190597057e-06,3.160975755924711e-05
ENSG00000145692.15,BHMT,-2.1835333748549925,4.885667190597057e-06,3.160975755924711e-05
ENSG00000236305.1,SLC12A9-AS1,3.6513307934015886,4.885667190597057e-06,3.160975755924711e-05
ENSG00000244073.1,RPS4XP6,2.7354665019062017,4.885667190597057e-06,3.160975755924711e-05
ENSG00000258604.1,AL161668.4,-3.217137385755671,4.885667190597057e-06,3.160975755924711e-05
ENSG00000276445.1,AC005393.1,3.8092953166971073,4.885667190597057e-06,3.160975755924711e-05
ENSG00000109181.12,UGT2B10,-2.4291513024949376,4.885667190597057e-06,3.160975755924711e-05
ENSG00000105398.4,SULT2A1,-2.1168158215836974,4.885667190597057e-06,3.160975755924711e-05
ENSG00000079557.5,AFM,-2.1747261439066468,4.885667190597057e-06,3.160975755924711e-05
ENSG00000086717.18,PPEF1,4.197992975878772,4.885667190597057e-06,3.160975755924711e-05
ENSG00000230333.6,AC004160.1,-3.1774547192043614,4.885667190597057e-06,3.160975755924711e-05
ENSG00000227533.6,SLC2A1-AS1,4.350323117946718,4.885667190597057e-06,3.160975755924711e-05
ENSG00000176383.9,B3GNT4,4.598170194482602,4.885667190597057e-06,3.160975755924711e-05
ENSG00000010379.16,SLC6A13,-3.1502113805236545,4.885667190597057e-06,3.160975755924711e-05
ENSG00000101323.5,HAO1,-2.3699802814741484,4.885667190597057e-06,3.160975755924711e-05
ENSG00000236136.1,ADORA2BP1,-2.671588128486924,4.885667190597057e-06,3.160975755924711e-05
ENSG00000205143.3,ARID3C,-3.120814451654316,4.885667190597057e-06,3.160975755924711e-05
ENSG00000108813.11,DLX4,5.024294435592028,4.885667190597057e-06,3.160975755924711e-05
ENSG00000186910.4,SERPINA11,-2.1873958371179367,4.885667190597057e-06,3.160975755924711e-05
ENSG00000120054.12,CPN1,-1.5521549411684976,4.885667190597057e-06,3.160975755924711e-05
ENSG00000287306.1,AC016821.1,4.675796528016422,4.885667190597057e-06,3.160975755924711e-05
ENSG00000243818.5,AC021074.3,-3.475132806744633,4.904861329620031e-06,3.160975755924711e-05
ENSG00000176884.16,GRIN1,4.391003186010627,4.9082463560274e-06,3.160975755924711e-05
ENSG00000175336.10,APOF,-2.7734252860230337,4.9082463560274e-06,3.160975755924711e-05
ENSG00000261924.1,AC127496.1,3.107190690099798,4.9082463560274e-06,3.160975755924711e-05
ENSG00000266313.2,AC026254.2,2.7193553228516474,4.9082463560274e-06,3.160975755924711e-05
ENSG00000126231.15,PROZ,-2.497391095165102,4.9082463560274e-06,3.160975755924711e-05
ENSG00000264548.1,AC132872.2,3.5373940993449735,4.9082463560274e-06,3.160975755924711e-05
ENSG00000233175.2,AC008105.1,3.729964675259495,4.9082463560274e-06,3.160975755924711e-05
ENSG00000172425.12,TTC36,-3.2293776647263743,4.9082463560274e-06,3.160975755924711e-05
ENSG00000116882.15,HAO2,-2.7653956415808847,4.9082463560274e-06,3.160975755924711e-05
ENSG00000281162.2,LINC01127,-2.949024316983535,4.9082463560274e-06,3.160975755924711e-05
ENSG00000261701.7,HPR,-2.2879345282263013,4.9082463560274e-06,3.160975755924711e-05
ENSG00000112337.10,SLC17A2,-1.94234068049966,4.9082463560274e-06,3.160975755924711e-05
ENSG00000159650.9,UROC1,-2.896406867436127,4.9082463560274e-06,3.160975755924711e-05
ENSG00000244414.7,CFHR1,-1.9831049749953447,4.9082463560274e-06,3.160975755924711e-05
ENSG00000110887.8,DAO,-2.493586005388048,4.9082463560274e-06,3.160975755924711e-05
ENSG00000276966.2,H4C5,4.548382592732839,4.9082463560274e-06,3.160975755924711e-05
ENSG00000214391.3,TUBAP2,2.875018985486792,4.9082463560274e-06,3.160975755924711e-05
ENSG00000213977.8,TAX1BP3,2.832852577551013,4.9082463560274e-06,3.160975755924711e-05
ENSG00000248099.4,INSL3,3.3554889858056267,4.9082463560274e-06,3.160975755924711e-05
ENSG00000162460.7,TMEM82,-2.3542759757457863,4.9082463560274e-06,3.160975755924711e-05
ENSG00000250799.11,PRODH2,-1.918413030014695,4.9082463560274e-06,3.160975755924711e-05
ENSG00000147647.13,DPYS,-2.1948348057866354,4.919567987097153e-06,3.160975755924711e-05
ENSG00000235897.1,TM4SF19-AS1,2.702727361804034,4.919567987097153e-06,3.160975755924711e-05
ENSG00000285043.2,AC093512.2,4.0323376819789205,4.919567987097153e-06,3.160975755924711e-05
ENSG00000285077.2,ARHGAP11B,3.6840724485414995,4.919567987097153e-06,3.160975755924711e-05
ENSG00000285416.1,AC137630.5,3.553783977090428,4.919567987097153e-06,3.160975755924711e-05
ENSG00000116035.4,VAX2,3.6674351104263105,4.919567987097153e-06,3.160975755924711e-05
ENSG00000198099.9,ADH4,-2.2610338644113215,4.919567987097153e-06,3.160975755924711e-05
ENSG00000267114.1,AC011481.1,3.3417402787722175,4.919567987097153e-06,3.160975755924711e-05
ENSG00000130045.16,NXNL2,4.296933865970041,4.919567987097153e-06,3.160975755924711e-05
ENSG00000127364.4,TAS2R4,2.939039740796076,4.919567987097153e-06,3.160975755924711e-05
ENSG00000277840.1,AC026368.1,4.5162824133873976,4.919567987097153e-06,3.160975755924711e-05
ENSG00000271966.1,AC021321.1,2.751992068663737,4.919567987097153e-06,3.160975755924711e-05
ENSG00000168913.7,ENHO,-2.123099340558553,4.919567987097153e-06,3.160975755924711e-05
ENSG00000240889.1,NDUFB2-AS1,2.7187714257306337,4.919567987097153e-06,3.160975755924711e-05
ENSG00000267049.1,AC002398.1,2.9743519710834194,4.919567987097153e-06,3.160975755924711e-05
ENSG00000137204.15,SLC22A7,-2.030947533464508,4.919567987097153e-06,3.160975755924711e-05
ENSG00000137561.5,TTPA,-1.6029236349160736,4.919567987097153e-06,3.160975755924711e-05
ENSG00000274460.1,AC092119.2,2.9760031538299256,4.919567987097153e-06,3.160975755924711e-05
ENSG00000113600.11,C9,-2.1630691748842636,4.919567987097153e-06,3.160975755924711e-05
ENSG00000110436.13,SLC1A2,-2.204619725395518,4.919567987097153e-06,3.160975755924711e-05
ENSG00000205740.2,AL359878.1,3.8677856827767303,4.919567987097153e-06,3.160975755924711e-05
ENSG00000275484.1,AP003419.3,4.172345794311449,4.919567987097153e-06,3.160975755924711e-05
ENSG00000251637.6,LINC02754,-2.972458116926414,4.919567987097153e-06,3.160975755924711e-05
ENSG00000276571.1,AC002550.2,3.451426409203692,4.919567987097153e-06,3.160975755924711e-05
ENSG00000227885.3,AL590652.1,4.285653715447173,4.919567987097153e-06,3.160975755924711e-05
ENSG00000234076.1,TPRG1-AS1,-2.5952093931586115,4.919567987097153e-06,3.160975755924711e-05
ENSG00000085999.13,RAD54L,4.205659316513098,4.919567987097153e-06,3.160975755924711e-05
ENSG00000073734.10,ABCB11,-2.2718442808412727,4.919567987097153e-06,3.160975755924711e-05
ENSG00000255974.8,CYP2A6,-2.431658150691999,4.919567987097153e-06,3.160975755924711e-05
ENSG00000162365.12,CYP4A22,-2.2227607874580912,4.919567987097153e-06,3.160975755924711e-05
ENSG00000238260.1,AL513320.1,2.7768387601976463,4.919567987097153e-06,3.160975755924711e-05
ENSG00000001460.18,STPG1,1.1641601744976233,4.923346619580148e-06,3.160975755924711e-05
ENSG00000274561.1,AC005332.3,1.1585742872877927,4.923346619580148e-06,3.160975755924711e-05
ENSG00000237977.1,EIF4HP2,3.2245292345514955,4.923346619580148e-06,3.160975755924711e-05
ENSG00000237883.2,DGUOK-AS1,2.1310382494629994,4.923346619580148e-06,3.160975755924711e-05
ENSG00000014138.9,POLA2,1.3510357835182052,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006740.17,ARHGAP44,1.4674343018052587,4.923346619580148e-06,3.160975755924711e-05
ENSG00000184792.16,OSBP2,1.9853220618277385,4.923346619580148e-06,3.160975755924711e-05
ENSG00000185652.12,NTF3,-1.9295828991424604,4.923346619580148e-06,3.160975755924711e-05
ENSG00000185596.16,WASH3P,1.0685007869878833,4.923346619580148e-06,3.160975755924711e-05
ENSG00000128891.16,CCDC32,1.0088846042657298,4.923346619580148e-06,3.160975755924711e-05
ENSG00000128581.17,IFT22,1.0889110355756277,4.923346619580148e-06,3.160975755924711e-05
ENSG00000185838.14,GNB1L,1.343847329410536,4.923346619580148e-06,3.160975755924711e-05
ENSG00000186185.14,KIF18B,3.7894571562396173,4.923346619580148e-06,3.160975755924711e-05
ENSG00000186115.13,CYP4F2,-1.6378059320130423,4.923346619580148e-06,3.160975755924711e-05
ENSG00000274270.1,AL137060.3,3.380615471892604,4.923346619580148e-06,3.160975755924711e-05
ENSG00000077152.11,UBE2T,2.7987933385949035,4.923346619580148e-06,3.160975755924711e-05
ENSG00000078081.8,LAMP3,2.0839821195607873,4.923346619580148e-06,3.160975755924711e-05
ENSG00000076003.5,MCM6,1.1077191046199584,4.923346619580148e-06,3.160975755924711e-05
ENSG00000005421.9,PON1,-1.5773039381618554,4.923346619580148e-06,3.160975755924711e-05
ENSG00000006432.15,MAP3K9,1.2237902789098487,4.923346619580148e-06,3.160975755924711e-05
ENSG00000158158.12,CNNM4,1.0190678236208686,4.923346619580148e-06,3.160975755924711e-05
ENSG00000158106.14,RHPN1,1.9289438995267918,4.923346619580148e-06,3.160975755924711e-05
ENSG00000158104.11,HPD,-1.7100364672023942,4.923346619580148e-06,3.160975755924711e-05
ENSG00000158079.16,PTPDC1,1.1493929149472422,4.923346619580148e-06,3.160975755924711e-05
ENSG00000010292.13,NCAPD2,1.043531042301764,4.923346619580148e-06,3.160975755924711e-05
ENSG00000009724.17,MASP2,-2.0585725632962193,4.923346619580148e-06,3.160975755924711e-05
ENSG00000008853.17,RHOBTB2,1.0165248917571976,4.923346619580148e-06,3.160975755924711e-05
ENSG00000270049.3,AC009061.2,2.074746608238222,4.923346619580148e-06,3.160975755924711e-05
ENSG00000240370.6,RPL13P5,2.005586738408617,4.923346619580148e-06,3.160975755924711e-05
ENSG00000160957.14,RECQL4,1.448455803094688,4.923346619580148e-06,3.160975755924711e-05
ENSG00000160949.17,TONSL,1.126168399264031,4.923346619580148e-06,3.160975755924711e-05
ENSG00000279048.1,AC080080.1,2.7619729336269883,4.923346619580148e-06,3.160975755924711e-05
ENSG00000007944.15,MYLIP,1.122245131386711,4.923346619580148e-06,3.160975755924711e-05
ENSG00000249471.8,ZNF324B,1.1282354330602997,4.923346619580148e-06,3.160975755924711e-05
ENSG00000249459.11,ZNF286B,2.8513417501528178,4.923346619580148e-06,3.160975755924711e-05
ENSG00000079691.18,CARMIL1,1.0559108189619308,4.923346619580148e-06,3.160975755924711e-05
ENSG00000079462.8,PAFAH1B3,1.844165335018554,4.923346619580148e-06,3.160975755924711e-05
ENSG00000232434.2,AJM1,1.3403930346311501,4.923346619580148e-06,3.160975755924711e-05
ENSG00000249096.7,LINC02362,-2.404449741761774,4.923346619580148e-06,3.160975755924711e-05
ENSG00000232724.1,TRIM80P,-2.1863274114885156,4.923346619580148e-06,3.160975755924711e-05
ENSG00000081760.17,AACS,1.1267720367130583,4.923346619580148e-06,3.160975755924711e-05
ENSG00000248593.3,DSTNP2,1.6447334695914042,4.923346619580148e-06,3.160975755924711e-05
ENSG00000247137.9,AP000873.2,1.7127249500231065,4.923346619580148e-06,3.160975755924711e-05
ENSG00000154760.14,SLFN13,1.7510221725809387,4.923346619580148e-06,3.160975755924711e-05
ENSG00000154370.16,TRIM11,1.0384504609253942,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161031.13,PGLYRP2,-1.7287190119447666,4.923346619580148e-06,3.160975755924711e-05
ENSG00000176208.9,ATAD5,1.809278718983211,4.923346619580148e-06,3.160975755924711e-05
ENSG00000162437.14,RAVER2,1.4764860427635735,4.923346619580148e-06,3.160975755924711e-05
ENSG00000080986.13,NDC80,2.9104696140126123,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161800.13,RACGAP1,1.779049146899418,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161692.18,DBF4B,1.4455417381023346,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161682.15,FAM171A2,3.031534720799458,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161664.7,ASB16,2.1191522507123186,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161647.19,MPP3,2.07047079791579,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161328.11,LRRC56,1.99820692859733,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161267.12,BDH1,-1.1079388744722674,4.923346619580148e-06,3.160975755924711e-05
ENSG00000080839.12,RBL1,1.5214491373333543,4.923346619580148e-06,3.160975755924711e-05
ENSG00000080709.16,KCNN2,-2.089419854948559,4.923346619580148e-06,3.160975755924711e-05
ENSG00000231305.4,AC112484.1,2.0507850861995864,4.923346619580148e-06,3.160975755924711e-05
ENSG00000075702.18,WDR62,2.112406993869686,4.923346619580148e-06,3.160975755924711e-05
ENSG00000075218.19,GTSE1,3.234828316146451,4.923346619580148e-06,3.160975755924711e-05
ENSG00000075131.10,TIPIN,1.064991740521028,4.923346619580148e-06,3.160975755924711e-05
ENSG00000162063.13,CCNF,1.7615816172846956,4.923346619580148e-06,3.160975755924711e-05
ENSG00000162062.15,TEDC2,2.5766875524504425,4.923346619580148e-06,3.160975755924711e-05
ENSG00000162004.18,CCDC78,2.9929239625548796,4.923346619580148e-06,3.160975755924711e-05
ENSG00000161888.11,SPC24,2.368406716799233,4.923346619580148e-06,3.160975755924711e-05
ENSG00000162458.13,FBLIM1,1.1927923209416664,4.923346619580148e-06,3.160975755924711e-05
ENSG00000177576.12,C18orf32,1.17167408310167,4.923346619580148e-06,3.160975755924711e-05
ENSG00000177410.13,ZFAS1,1.260948240458183,4.923346619580148e-06,3.160975755924711e-05
ENSG00000270012.1,AC232271.1,1.7910235701730572,4.923346619580148e-06,3.160975755924711e-05
ENSG00000269867.1,AC010326.3,1.2441371358604738,4.923346619580148e-06,3.160975755924711e-05
ENSG00000178623.12,GPR35,3.1431854615651496,4.923346619580148e-06,3.160975755924711e-05
ENSG00000174996.12,KLC2,1.2802687662331247,4.923346619580148e-06,3.160975755924711e-05
ENSG00000137309.20,HMGA1,1.0151747314265207,4.923346619580148e-06,3.160975755924711e-05
ENSG00000137269.15,LRRC1,2.40085639388954,4.923346619580148e-06,3.160975755924711e-05
ENSG00000137135.18,ARHGEF39,2.422363462656117,4.923346619580148e-06,3.160975755924711e-05
ENSG00000270362.1,HMGN3-AS1,1.8141889621803686,4.923346619580148e-06,3.160975755924711e-05
ENSG00000176371.14,ZSCAN2,1.1032432319935708,4.923346619580148e-06,3.160975755924711e-05
ENSG00000074219.14,TEAD2,1.4467746040642386,4.923346619580148e-06,3.160975755924711e-05
ENSG00000247708.8,STX18-AS1,1.537148449211519,4.923346619580148e-06,3.160975755924711e-05
ENSG00000247595.4,SPTY2D1OS,1.567013045746342,4.923346619580148e-06,3.160975755924711e-05
ENSG00000247373.3,TMED2-DT,1.9188013250407783,4.923346619580148e-06,3.160975755924711e-05
ENSG00000073111.14,MCM2,1.7471464297894979,4.923346619580148e-06,3.160975755924711e-05
ENSG00000072832.15,CRMP1,1.5506962849330357,4.923346619580148e-06,3.160975755924711e-05
ENSG00000287315.1,AL670729.3,4.2134921482349945,4.923346619580148e-06,3.160975755924711e-05
ENSG00000233461.6,AL445524.1,2.106668891652595,4.923346619580148e-06,3.160975755924711e-05
ENSG00000231365.6,WARS2-AS1,1.453652089473033,4.923346619580148e-06,3.160975755924711e-05
ENSG00000250462.8,LRRC37BP1,1.2286050154715054,4.923346619580148e-06,3.160975755924711e-05
ENSG00000085644.14,ZNF213,1.291352512607935,4.923346619580148e-06,3.160975755924711e-05
ENSG00000083838.16,ZNF446,1.1961420360074548,4.923346619580148e-06,3.160975755924711e-05
ENSG00000083807.10,SLC27A5,-1.4807982348617792,4.923346619580148e-06,3.160975755924711e-05
ENSG00000249592.6,AC139887.2,1.275746622865373,4.923346619580148e-06,3.160975755924711e-05
